fund_id,moneydj_code,子頁,表格,欄位名稱,抓到的值,是否成功
barings_plb22,AY01,績效,,淨值日期,最新淨值 | 漲跌幅% | 自今年以 來報酬率(%) | 年化 標準差 | Sharpe | Beta,✅
barings_plb22,AY01,配息,,配息基準日,除息日 | 發放日 | 狀態 | 每單位分配金額 | 年化配息率% | 幣別 | 備註,✅
barings_plb22,AY01,報酬比較,,,今年起 | 一個月 | 三個月 | 六個月 | 一年 | 二年 | 三年,✅
barings_plb22,AY01,風險評比,報酬率比較表,,年平均報酬率 | Sharpe | Beta | 標準差,✅
barings_plb22,AY01,風險評比,-年報酬率比較表,,2025 | 2024 | 2023 | 2022 | 2021,✅
barings_plb22,AY01,風險評比,-年報酬率比較表,年化標準差,N/A | N/A | N/A | N/A | N/A,✗
barings_plb22,AY01,風險評比,-年報酬率比較表,Beta,N/A | N/A | N/A | N/A | N/A,✗
barings_plb22,AY01,風險評比,-年報酬率比較表,Sharpe Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb22,AY01,風險評比,-年報酬率比較表,Treynor Index,N/A | N/A | N/A | N/A | N/A,✗
barings_plb22,AY01,風險評比,-年報酬率比較表,Jensen Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb22,AY01,風險評比,-年報酬率比較表,Informaton Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,績效,,淨值日期,最新淨值 | 漲跌幅% | 自今年以 來報酬率(%) | 年化 標準差 | Sharpe | Beta,✅
barings_plb24,AY02,配息,,配息基準日,除息日 | 發放日 | 狀態 | 每單位分配金額 | 年化配息率% | 幣別 | 備註,✅
barings_plb24,AY02,報酬比較,,,今年起 | 一個月 | 三個月 | 六個月 | 一年 | 二年 | 三年,✅
barings_plb24,AY02,風險評比,報酬率比較表,,年平均報酬率 | Sharpe | Beta | 標準差,✅
barings_plb24,AY02,風險評比,-年報酬率比較表,,2025 | 2024 | 2023 | 2022 | 2021,✅
barings_plb24,AY02,風險評比,-年報酬率比較表,年化標準差,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,風險評比,-年報酬率比較表,Beta,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,風險評比,-年報酬率比較表,Sharpe Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,風險評比,-年報酬率比較表,Treynor Index,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,風險評比,-年報酬率比較表,Jensen Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb24,AY02,風險評比,-年報酬率比較表,Informaton Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,績效,,淨值日期,最新淨值 | 漲跌幅% | 自今年以 來報酬率(%) | 年化 標準差 | Sharpe | Beta,✅
barings_plb15,BQ07,配息,,配息基準日,除息日 | 發放日 | 狀態 | 每單位分配金額 | 年化配息率% | 幣別 | 備註,✅
barings_plb15,BQ07,報酬比較,,,今年起 | 一個月 | 三個月 | 六個月 | 一年 | 二年 | 三年,✅
barings_plb15,BQ07,風險評比,報酬率比較表,,年平均報酬率 | Sharpe | Beta | 標準差,✅
barings_plb15,BQ07,風險評比,-年報酬率比較表,,2025 | 2024 | 2023 | 2022 | 2021,✅
barings_plb15,BQ07,風險評比,-年報酬率比較表,年化標準差,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,風險評比,-年報酬率比較表,Beta,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,風險評比,-年報酬率比較表,Sharpe Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,風險評比,-年報酬率比較表,Treynor Index,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,風險評比,-年報酬率比較表,Jensen Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb15,BQ07,風險評比,-年報酬率比較表,Informaton Ratio,N/A | N/A | N/A | N/A | N/A,✗
barings_plb04,BQ01,績效,,淨值日期,最新淨值 | 漲跌幅% | 自今年以 來報酬率(%) | 年化 標準差 | Sharpe | Beta,✅
barings_plb04,BQ01,配息,,配息基準日,除息日 | 發放日 | 狀態 | 每單位分配金額 | 年化配息率% | 幣別 | 備註,✅
barings_plb04,BQ01,報酬比較,,,今年起 | 一個月 | 三個月 | 六個月 | 一年 | 二年 | 三年,✅
barings_plb04,BQ01,風險評比,報酬率比較表,,年平均報酬率 | Sharpe | Beta | 標準差,✅
